f,Envelope,EnvelopeD
100,6.69E-01,184.76
125.8925412,6.69E-01,184.76
158.4893192,6.69E-01,184.76
199.5262315,6.69E-01,184.76
251.1886432,6.69E-01,184.76
316.227766,6.69E-01,184.76
398.1071706,6.69E-01,184.76
501.1872336,6.69E-01,184.76
630.9573445,6.69E-01,184.76
794.3282347,6.69E-01,184.76
1000,6.69E-01,184.76
1258.925412,6.69E-01,184.76
1584.893192,6.69E-01,184.76
1995.262315,6.69E-01,184.76
2511.886432,6.69E-01,184.76
3162.27766,6.69E-01,184.76
3981.071706,6.69E-01,184.76
5011.872336,6.69E-01,184.76
6309.573445,6.69E-01,184.76
7943.282347,6.69E-01,184.76
10000,6.69E-01,184.76
12589.25412,6.69E-01,184.76
15848.93192,6.69E-01,184.76
19952.62315,6.69E-01,184.76
25118.86432,6.69E-01,184.76
31622.7766,6.69E-01,184.76
39810.71706,6.69E-01,184.76
50118.72336,6.69E-01,184.76
63095.73445,6.69E-01,184.76
79432.82347,6.69E-01,184.76
100000,6.69E-01,184.76
125892.5412,6.69E-01,184.76
158489.3192,6.69E-01,184.76
199526.2315,6.69E-01,184.76
251188.6432,6.69E-01,184.76
316227.766,6.69E-01,184.76
398107.1706,6.69E-01,184.76
501187.2336,6.69E-01,184.76
630957.3445,6.69E-01,184.76
794328.2347,6.69E-01,184.76
1000000,6.69E-01,184.76
1258925.412,6.69E-01,184.76
1584893.192,6.69E-01,184.76
1995262.315,6.69E-01,184.75
2511886.432,6.69E-01,184.75
3162277.66,6.69E-01,184.74
3981071.706,6.69E-01,184.73
5011872.336,6.69E-01,184.71
6309573.445,6.69E-01,184.68
7943282.347,6.69E-01,184.63
10000000,6.70E-01,184.56
12589254.12,6.70E-01,184.45
15848931.92,6.70E-01,184.28
19952623.15,6.70E-01,184.05
25118864.32,6.70E-01,183.72
31622776.6,6.71E-01,183.28
39810717.06,6.72E-01,182.73
50118723.36,6.74E-01,182.07
63095734.45,6.76E-01,181.31
79432823.47,6.80E-01,180.48
100000000,6.86E-01,179.60
125892541.2,6.96E-01,178.67
158489319.2,7.11E-01,177.72
199526231.5,7.34E-01,176.75
251188643.2,7.70E-01,175.77
316227766,8.23E-01,174.78
398107170.6,9.01E-01,173.79
501187233.6,1.01E+00,172.80
630957344.5,1.17E+00,171.80
794328234.7,1.38E+00,170.80
1000000000,1.66E+00,169.80
1258925412,2.02E+00,168.80
1584893192,2.49E+00,167.81
1995262315,3.09E+00,166.81
2511886432,3.86E+00,165.81
3162277660,4.84E+00,164.81
3981071706,6.07E+00,163.81
5011872336,7.62E+00,162.81
6309573445,9.58E+00,161.81
7943282347,1.20E+01,160.81
10000000000,1.52E+01,159.81
12589254118,1.91E+01,158.81
15848931925,2.40E+01,157.81
19952623150,3.02E+01,156.81
25118864315,3.80E+01,155.81
31622776602,4.79E+01,154.81
39810717055,6.03E+01,153.81
50118723363,7.59E+01,152.81
63095734448,9.55E+01,151.81
79432823472,1.20E+02,150.81
1.00E+11,1.51E+02,149.81
1.26E+11,1.91E+02,148.81
1.58E+11,2.40E+02,147.81
2.00E+11,3.02E+02,146.81
2.51E+11,3.80E+02,145.81
3.16E+11,4.79E+02,144.81
3.98E+11,6.03E+02,143.81
5.01E+11,7.59E+02,142.81
6.31E+11,9.55E+02,141.81
7.94E+11,1.20E+03,140.81
1.00E+12,1.51E+03,139.81
